Snapshots,eval_dataset,Cost_time,Num,Vis,AUC,Mean,Median,,Thresholds,0,1.578947368,3.157894737,4.736842105,6.315789474,7.894736842,9.473684211,11.05263158,12.63157895,14.21052632,15.78947368,17.36842105,18.94736842,20.52631579,22.10526316,23.68421053,25.26315789,26.84210526,28.42105263,30
RESULT_OF_OriginPaper,RHD,127.660305,2728,all,0.746,10,4.472,,,0,0.133710376,0.356357352,0.53344505,0.641949448,0.71152772,0.75804706,0.791963413,0.817658148,0.838709677,0.855205279,0.870409161,0.883361262,0.894428152,0.904849183,0.914013406,0.922339757,0.930247172,0.936845413,0.94349602
,RHD,127.660305,2728,part,0.751,8.126,4.416,,,0,0.135256141,0.360266332,0.539148779,0.648719366,0.718751471,0.765423039,0.799326228,0.824874619,0.845717857,0.862021229,0.87703821,0.889681399,0.90049733,0.910635549,0.919701087,0.927880507,0.935439523,0.941845913,0.948339407
RESULT_OF_0711_posenet_n0_R_c1.2_b8_i30000,RHD,185.7513785,2728,all,0.837,6.897,2.634,,,3.49E-05,0.288350091,0.595115906,0.739631336,0.807621142,0.847158218,0.873167155,0.892438207,0.906315459,0.916806312,0.9257087,0.933720849,0.940860215,0.947283899,0.952555509,0.957111437,0.961108784,0.965333054,0.968614719,0.971564726
,RHD,185.7513785,2728,part,0.844,4.961,2.601,,,3.52734E-05,0.291450151,0.60154427,0.74738799,0.815739337,0.85529271,0.881279262,0.900313552,0.913987889,0.924278722,0.93287201,0.940610704,0.947586334,0.953944248,0.959081738,0.963441524,0.967321311,0.971377343,0.974353876,0.977170784
RESULT_OF_0719_n1_STB_320_c1.2_b8_aTrue_i3.0w,STB_320,228.3595979,3000,all,0.88,3.579,3.209,,,0.002142857,0.162428571,0.470507937,0.747952381,0.903555556,0.963888889,0.985079365,0.993238095,0.996698413,0.998222222,0.998761905,0.999285714,0.99947619,0.999555556,0.99968254,0.99968254,0.999793651,0.999793651,0.99984127,0.999857143
RESULT_OF_0719_n1_STB_320_c1.2_b8_aTrue_i3.0w,STB_320,139.8428056,3000,all,0.88,3.579,3.209,,,0.002142857,0.162428571,0.470507937,0.747952381,0.903555556,0.963888889,0.985079365,0.993238095,0.996698413,0.998222222,0.998761905,0.999285714,0.99947619,0.999555556,0.99968254,0.99968254,0.999793651,0.999793651,0.99984127,0.999857143
RESULT_OF_0720_n2_STB_320_c1.2_b8_aTrue_vTrue_i5.0w,STB_320,215.6918619,3000,all,0.883,3.49,3.144,,,0.002,0.166031746,0.48147619,0.764809524,0.915666667,0.970444444,0.988603175,0.994698413,0.997539683,0.998666667,0.999095238,0.999444444,0.999571429,0.999619048,0.999698413,0.999730159,0.999777778,0.999809524,0.99984127,0.99984127
RESULT_OF_0720_n1_RS_320_c1.2_b8_aTrue_vTrue_i5.0w,RS_320,359.8742805,5728,all,0.825,6.225,3.943,,,0.000856278,0.146539971,0.388708766,0.601822293,0.749659151,0.840050545,0.891385674,0.920590583,0.938422785,0.949654163,0.957526935,0.963354616,0.967827215,0.971185821,0.974303339,0.976739159,0.978900638,0.981070431,0.982899375,0.984728319
RESULT_OF_0720_n3_STB_320_c1.2_b8_aFalse_vTrue_i3.0w,STB_320,214.594871,3000,all,0.897,3.047,2.802,,,0.002238095,0.208920635,0.579269841,0.847285714,0.94868254,0.980587302,0.991587302,0.995952381,0.997888889,0.998920635,0.999333333,0.99952381,0.999634921,0.99968254,0.999761905,0.999793651,0.999825397,0.999857143,0.999888889,0.999888889
RESULT_OF_0720_n4_RS_320_c1.2_b8_aFalse_vTrue_i4.0w,RS_320,363.3408468,5728,all,0.83,6.048,3.74,,,0.001247007,0.201000931,0.444624568,0.622547553,0.745843309,0.82806265,0.880952381,0.913856744,0.934831405,0.947941607,0.956944999,0.963412809,0.968093243,0.972116919,0.97514299,0.977653631,0.979515829,0.981802009,0.983522878,0.985010974
RESULT_OF_0720_n2_STB_320_c1.2_b8_aTrue_vTrue_i5.0w,STB_320,81.42788005,3000,all,0.883,3.49,3.144,,,0.002,0.166031746,0.48147619,0.764809524,0.915666667,0.970444444,0.988603175,0.994698413,0.997539683,0.998666667,0.999095238,0.999444444,0.999571429,0.999619048,0.999698413,0.999730159,0.999777778,0.999809524,0.99984127,0.99984127
RESULT_OF_0720_n1_RS_320_c1.2_b8_aTrue_vTrue_i5.0w,RS_320,150.1559842,5728,all,0.825,6.225,3.943,,,0.000856278,0.146539971,0.388708766,0.601822293,0.749659151,0.840050545,0.891385674,0.920590583,0.938422785,0.949654163,0.957526935,0.963354616,0.967827215,0.971185821,0.974303339,0.976739159,0.978900638,0.981070431,0.982899375,0.984728319
,RS_320,150.1559842,5728,part,0.827,5.349,3.925,,,0.000860485,0.147245823,0.390504244,0.604572862,0.75294886,0.843581249,0.89499263,0.924063805,0.941737493,0.952769724,0.960453031,0.966158209,0.970526312,0.973748768,0.976729492,0.979106675,0.981140782,0.983208073,0.984948634,0.986681717
RESULT_OF_0720_n3_STB_320_c1.2_b8_aFalse_vTrue_i3.0w,STB_320,81.13892126,3000,all,0.897,3.047,2.802,,,0.002238095,0.208920635,0.579269841,0.847285714,0.94868254,0.980587302,0.991587302,0.995952381,0.997888889,0.998920635,0.999333333,0.99952381,0.999634921,0.99968254,0.999761905,0.999793651,0.999825397,0.999857143,0.999888889,0.999888889
RESULT_OF_0720_n4_RS_320_c1.2_b8_aFalse_vTrue_i4.0w,RS_320,149.784678,5728,all,0.83,6.048,3.74,,,0.001247007,0.201000931,0.444624568,0.622547553,0.745843309,0.82806265,0.880952381,0.913856744,0.934831405,0.947941607,0.956944999,0.963412809,0.968093243,0.972116919,0.97514299,0.977653631,0.979515829,0.981802009,0.983522878,0.985010974
,RS_320,149.784678,5728,part,0.832,5.232,3.724,,,0.001194653,0.201602203,0.446238782,0.624849612,0.748487668,0.830990776,0.883950183,0.916678661,0.937518525,0.950536628,0.959460769,0.965847004,0.970383912,0.974351166,0.977263978,0.979699174,0.98150684,0.983723833,0.985389616,0.986813329
RESULT_OF_0720_n5_STB_320_c1.2_b8_aFalse_vTrue_i5.0w,STB_320,80.02832389,3000,all,0.898,3.022,2.782,,,0.002238095,0.210793651,0.58431746,0.854873016,0.95252381,0.982269841,0.992190476,0.995857143,0.997777778,0.998666667,0.999095238,0.999349206,0.999444444,0.99952381,0.999587302,0.999650794,0.999666667,0.999698413,0.999746032,0.999761905
RESULT_OF_0720_n7_STB_320_c1.2_b16_aTrue_vTrue_i3.0w,STB_320,83.09081578,3000,all,0.884,3.471,3.137,,,0.002095238,0.170412698,0.485873016,0.766285714,0.916126984,0.970238095,0.988920635,0.994857143,0.997666667,0.998809524,0.999253968,0.999444444,0.999619048,0.999666667,0.999714286,0.999714286,0.999746032,0.999746032,0.999825397,0.999825397
RESULT_OF_0720_n6_RS_320_c1.2_b8_aFalse_vTrue_i5.0w,RS_320,153.4700003,5728,all,0.851,5.361,3.221,,,0.001247007,0.219797486,0.501537976,0.701973597,0.819865656,0.88254855,0.916999202,0.936153232,0.948257515,0.956878492,0.963005454,0.967926975,0.971709564,0.975001663,0.977470737,0.979756917,0.981619114,0.983672519,0.985094107,0.986507382
,RS_320,153.4700003,5728,part,0.853,4.547,3.207,,,0.001194653,0.220536562,0.503531873,0.704796452,0.823080966,0.885824441,0.920111772,0.939086267,0.951089726,0.959535636,0.965512999,0.97030083,0.973950527,0.97718161,0.979550105,0.981751446,0.983518097,0.985435133,0.986816192,0.988172208
RESULT_OF_0721_n1_STB_320_c1.2_b32_aTrue_vTrue_i3.0w,STB_320,82.37265825,3000,all,0.887,3.361,3.04,,,0.002111111,0.17784127,0.505349206,0.786634921,0.927698413,0.976539683,0.991634921,0.996063492,0.997793651,0.998809524,0.999269841,0.999539683,0.999666667,0.999746032,0.999777778,0.999809524,0.999825397,0.999825397,0.99984127,0.999857143
RESULT_OF_0720_n8_RS_320_c1.2_b16_aTrue_vTrue_i4.0w,RS_320,155.2127061,5728,all,0.827,6.162,3.99,,,0.000781458,0.151045823,0.390296621,0.590491155,0.738461027,0.835195531,0.890604217,0.922910016,0.942604416,0.954617252,0.962839186,0.968409151,0.972557529,0.976123969,0.978759311,0.981111998,0.98313215,0.984703379,0.98603352,0.987471735
,RS_320,155.2127061,5728,part,0.829,5.291,3.974,,,0.000785297,0.151696159,0.392065659,0.593148434,0.741704258,0.838599975,0.89399241,0.926175517,0.945709668,0.957599878,0.96567543,0.971021652,0.975089667,0.978495296,0.98103103,0.983274484,0.985249299,0.986721548,0.987993965,0.989324277
RESULT_OF_0721_n2_RS_320_c1.2_b32_aTrue_vTrue_i4.0w,RS_320,154.8815796,5728,all,0.848,5.499,3.242,,,0.001005919,0.180824355,0.466089718,0.689146049,0.823390529,0.889939146,0.923167731,0.940384743,0.951200452,0.958557795,0.964227521,0.968525539,0.972316441,0.975400705,0.977828212,0.979948125,0.98205141,0.984096502,0.985609537,0.98721402
